size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,140,110,130,411,160,170,160,220
4,170,150,160,471,190,210,200,130
8,140,190,210,581,230,251,240,240
16,140,310,321,661,270,350,391,180
32,2294,2214,761,951,651,681,691,400
64,11231,10329,2084,1553,1503,1342,1162,591
128,50947,46398,6272,4319,3667,2545,2184,1273
256,220599,199499,22162,4468,8356,5059,4208,2164
