size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,140,100,120,451,170,171,160,350
4,160,150,160,471,190,201,200,291
8,170,190,200,410,240,251,250,300
16,140,301,321,702,261,331,390,310
32,150,631,591,841,330,500,521,521
64,160,1823,1522,1092,451,771,802,561
128,200,5861,4719,3767,721,1402,1293,851
256,271,20659,16521,2835,1252,2665,2284,1282
