size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,140,100,130,440,160,320,160,180
4,140,140,160,461,191,321,191,290
8,130,191,201,561,241,351,250,300
16,140,310,330,671,261,441,411,300
32,1684,1833,771,1102,721,851,782,711
64,7955,7243,1983,2094,1573,1563,1353,1112
128,33795,28033,6172,6041,4198,3226,2755,2134
256,143181,113135,20058,8156,9979,6382,5621,4439
