size,bubble,insertion,selection,intro
2,110,110,131,220
4,120,150,170,240
8,130,200,200,260
16,140,300,320,220
32,140,631,611,561
64,160,1813,1563,742
128,210,5872,4849,1363
256,280,20670,16953,2034
512,411,77056,62418,4028
1024,691,297083,240626,7965
2048,1252,1171802,943739,16170
4096,2365,4641568,3720382,31740
8192,4609,18516851,14855500,67277
16384,9087,74010115,59182387,136498
