size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,140,110,120,440,170,170,160,220
4,140,150,160,321,190,210,190,140
8,130,190,210,591,230,260,241,150
16,140,301,311,691,260,331,401,260
32,140,621,621,792,721,802,772,521
64,160,1843,1542,1082,1713,1352,1273,792
128,201,5871,4899,3667,3958,2665,2405,1393
256,270,20679,17032,2845,8977,5180,4539,2154
