size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,150,100,120,461,161,170,150,240
4,240,150,170,521,201,210,210,190
8,481,260,270,441,291,341,311,240
16,1283,922,451,762,491,481,461,400
32,3848,3316,1082,1113,882,792,762,451
64,14357,12775,2525,1773,1893,1553,1272,831
128,56126,50345,6843,4729,3957,2765,2474,1463
256,220528,199418,22042,4568,8386,5040,4269,2144
