size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,150,100,110,371,170,170,150,141
4,271,150,170,501,200,220,200,271
8,591,260,250,631,331,310,320,200
16,1773,821,441,731,531,561,471,411
32,5680,3396,1203,1052,932,871,781,460
64,16331,13375,3056,1623,2024,1724,1232,701
128,62859,54053,8305,4348,4328,3035,2194,1252
256,245646,217001,28334,4689,9108,6232,4017,2274
