size,bubble,insertion,selection,intro
2,110,110,140,220
4,120,140,160,230
8,120,200,210,230
16,140,310,321,160
32,2335,2214,782,400
64,11201,10380,2084,641
128,50987,46378,6291,1253
256,220619,199479,22232,2054
512,926990,832993,80673,4047
1024,3780980,3423745,308716,7905
2048,15351134,13900472,1226891,16240
4096,61728449,55878883,4803777,32962
8192,247877047,224857015,19316372,68250
16384,993290264,900484436,76864939,138984
