size,bubble,insertion,selection,intro
2,140,100,120,191
4,160,160,160,281
8,411,301,261,341
16,992,872,521,491
32,2916,2605,1282,821
64,12153,9058,3096,1342
128,43774,33083,8256,2795
256,161828,123173,24556,6603
512,630561,473588,80452,13005
1024,2450847,1858808,283919,29566
2048,10067895,7639780,1053940,67498
4096,42248522,30570020,3994772,154974
8192,174213848,121424976,15423974,351898
16384,738861362,488135195,60566050,781373
