size,bubble,insertion,selection,intro
2,190,121,130,260
4,180,160,180,311
8,470,320,270,411
16,1162,992,631,601
32,4018,2985,1483,912
64,13496,10059,3407,1643
128,48552,36389,10340,3587
256,176605,134435,31741,7034
512,685971,522902,101362,16030
1024,2870215,2223778,355625,37171
2048,11174286,8599964,1290778,83819
4096,45999386,34504702,4944459,193487
8192,190157200,137789573,19166527,431037
16384,803916752,553353778,75414895,949351
