size,bubble,insertion,selection,intro
2,100,110,130,230
4,130,140,161,311
8,130,190,210,261
16,130,301,330,210
32,141,631,612,632
64,160,1814,1573,892
128,200,5861,4909,1422
256,271,20670,16962,2034
512,411,77067,62809,3577
1024,691,297064,238953,6383
2048,1252,1173065,940774,12533
4096,2374,4651400,3723010,24306
8192,4618,18512697,14832027,50436
16384,9077,74064001,59134600,101573
