size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,131,110,130,451,160,150,161,251
4,181,150,160,401,210,230,201,280
8,250,270,240,541,331,310,270,341
16,921,661,451,811,551,521,531,411
32,2806,2444,951,1223,1012,922,912,882
64,10440,8336,2284,1903,1884,1593,1433,1162
128,40046,30698,6692,6182,4559,3216,3036,2424
256,143422,113185,20118,8456,9699,6452,5600,4509
