size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,140,110,120,381,221,330,140,261
4,150,140,140,421,241,390,180,320
8,261,251,241,441,400,451,261,340
16,681,531,531,782,631,721,521,451
32,1804,1263,1172,1203,1062,1182,902,912
64,5821,3758,3166,2175,2084,1973,1623,1453
128,19396,12654,8927,4018,4649,4458,3817,3236
256,64462,45236,27933,8917,10570,9108,7865,6012
