size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,241,110,140,481,160,240,161,260
4,261,170,180,421,220,261,211,301
8,621,360,290,622,340,491,300,451
16,1143,932,611,882,551,731,581,571
32,4138,3015,1443,1403,1062,1082,1122,1042
64,13405,10049,3397,4528,2244,2474,2294,1644
128,49013,36359,10129,4799,5070,4970,4208,3587
256,177286,134575,31620,10239,12073,11742,9998,7304
