size,bubble,insertion,selection,intro
2,100,110,130,281
4,120,150,160,291
8,121,201,210,371
16,130,300,311,351
32,150,621,591,521
64,160,1823,1513,632
128,200,5871,4739,742
256,270,20659,16451,1232
512,411,77076,61316,2284
1024,691,297064,236398,4519
2048,1252,1172795,932990,9438
4096,2374,4650311,3710950,19948
8192,4609,18530892,14786740,42912
16384,9077,74055728,59164110,91885
