size,bubble,insertion,selection,intro
2,110,100,111,240
4,220,150,171,241
8,411,290,280,221
16,1242,922,481,431
32,3777,3286,1102,451
64,14428,12734,2565,791
128,56146,50335,6823,1443
256,220518,199468,22202,2134
512,881914,800619,72868,3747
1024,3559174,3232354,267508,6572
2048,14297393,13017603,1007331,12744
4096,57377516,52398176,3870100,24787
8192,230515892,210201081,15168701,50346
16384,928366550,847422076,59927438,103276
