size,bubble,insertion,selection,merge,heap,quick,hybrid,intro
2,140,110,130,461,160,150,170,140
4,130,141,160,470,211,240,200,141
8,120,200,210,441,341,351,260,170
16,140,300,320,651,581,541,511,260
32,140,631,621,791,1012,871,872,491
64,170,1833,1553,1082,2074,1533,1332,841
128,190,5861,4900,3637,4389,2986,2555,1332
256,271,20670,16912,2805,8917,5110,4479,2084
