size,bubble,insertion,selection,intro
2,110,110,130,230
4,120,191,160,290
8,220,310,310,340
16,752,742,461,450
32,2775,2455,942,891
64,10359,8315,2315,1242
128,39875,30669,6753,2314
256,143161,113164,20038,4418
512,559592,432751,69833,8817
1024,2240069,1709281,254834,16582
2048,9318482,7102699,973236,33724
4096,39210910,28590419,3782684,71946
8192,163914269,114231720,15162625,153471
16384,699092399,459231974,59940302,324676
