size,bubble,insertion,selection,intro
2,110,150,120,230
4,220,151,170,270
8,431,270,290,290
16,1303,821,541,431
32,4438,3377,1173,420
64,16301,13356,2936,671
128,62809,54072,8376,1222
256,245767,216992,28274,2254
512,973557,870210,96272,3837
1024,3887655,3498826,381323,7695
2048,15534215,14005055,1509604,15590
4096,62100844,56134738,6470354,32071
8192,248575814,224259130,30674444,65064
16384,994920429,900463170,149447766,136318
