size,ratio-quick-hybrid
2,0.6764705882352942
4,1.186842105263158
8,1.1910828025477707
16,0.9987980769230769
32,1.0085324232081911
64,1.070210631895687
128,1.1262351778656126
256,1.1099451466730266
512,1.1305312188089165
1024,1.0983486774806372
2048,1.1205504038288963
4096,1.1073254005131417
8192,1.111836678423308
16384,1.106242997528288
32768,1.0985583452744376
65536,1.0911421585782073
131072,1.0933388278524174
262144,1.0903402823735557
524288,1.081099675715396
1048576,1.079427074480845
