size,bubble,insertion,selection,intro
2,100,110,130,380
4,120,140,140,371
8,220,280,240,451
16,691,551,561,531
32,1793,1222,1192,1142
64,5781,3747,3186,1483
128,18886,12704,8947,3126
256,65284,45206,28013,6041
512,250295,169011,93607,13446
1024,966944,650914,331369,30267
2048,3820997,2622924,1250902,62899
4096,16027294,10429779,4809310,132001
8192,69408939,41456709,18933165,268700
16384,315936179,166078425,74673282,541978
