size,bubble,insertion,selection,intro
2,100,110,130,270
4,121,150,160,301
8,120,190,241,301
16,140,310,320,300
32,1633,1814,792,722
64,8005,7254,1983,1192
128,33934,28063,6151,2124
256,143622,113154,20007,4488
512,592042,451005,72047,9599
1024,2385604,1805935,263360,22432
2048,9982311,7553013,1004124,50025
4096,41812143,30400341,3856183,115620
8192,173699604,121115294,15464647,270292
16384,732028040,487607569,60400274,603875
